pk_Person	0	4	4	Person	person	PK	Pk	pk	Primary Key, AutoNum, int.	|	
st_SortableName	1	200	10	SortableName	sortablename	ST	St	st	SURNAME, Given Middle. Derived value.	|	
st_NaturalName	2	200	10	NaturalName	naturalname	ST	St	st	Given Middle Surname. Derived value. [200].	|	
st_UpperSurname	3	80	10	UpperSurname	uppersurname	ST	St	st	SURNAME. Complete surname if hyphenated. All CAPS. Derived value. [80].	|	
st_ProperSurname	4	80	10	ProperSurname	propersurname	ST	St	st	Surname. Complete surname if hyphenated. Proper case. [80].	|	
st_GivenName	5	80	10	GivenName	givenname	ST	St	st	Given name(s). [80].	|	
st_MiddleNames	6	200	10	MiddleNames	middlenames	ST	St	st	Middle name(s). [200].	|	
st_NickName	7	50	10	NickName	nickname	ST	St	st	Casual name. [50].	|	
st_BirthName	8	100	10	BirthName	birthname	ST	St	st	Birth surname. [100].	|	
st_Prefix	9	50	10	Prefix	prefix	ST	St	st	Honourific prefixes: Mr, Mrs, Dr, etc. [50].	|	
st_Suffix	10	50	10	Suffix	suffix	ST	St	st	Honourific suffixes: Sr, Jr, III, CNZM etc. [50].	|	
st_Initials	11	15	10	Initials	initials	ST	St	st	Conventional name initials in lower-case. Derived value. [15].	|	
st_Gender	12	1	10	Gender	gender	ST	St	st	M, F, or U: Male, Female, or Unknown respectively. [1].	|	
st_Notes	13	255	10	Notes	notes	ST	St	st	General-purpose notes about this person. [255].	|	
dt_BirthDate	14	8	8	BirthDate	birthdate	DT	Dt	dt	Date of birth.	|	
dt_DeathDate	15	8	8	DeathDate	deathdate	DT	Dt	dt	Date of death.	|	
dt_WeddingDate	16	8	8	WeddingDate	weddingdate	DT	Dt	dt	Date of most recent wedding/anniversary. If Person has multiple wedding dates, they will appear in TDF_Person_X_Persons (provided earlier families are maintained).	|	
dt_CurrencyDate	17	8	8	CurrencyDate	currencydate	DT	Dt	dt	Date of most-recent update. Person record, including its sub-entities, considered to be current as of this date.	|	
li_EHS_Order	18	4	4	EHS_Order	ehs_order	LI	Li	li	Broadly reflects the order that EHS65 entries appear in the 65 Yearbook. People who do not appear in the yearbook are added at the high-numbered end.	|	
is_Selected	19	1	1	Selected	selected	IS	Is	is	TRUE = Person is included in an arbitraily defined category. Dynamic field. Default value = False.	|	
is_DefaultRow	20	1	1	DefaultRow	defaultrow	IS	Is	is	TRUE = Person is used as the Contact Manager default  person object. Static field. Default value = False.	|	
is_Export	21	1	1	Export	export	IS	Is	is	TRUE = Person is to be exported as a VCF file. Static field. Default value = True	|	
is_Blocked	22	1	1	Blocked	blocked	IS	Is	is	TRUE = Person should be ignored. Static field. Default value = False.	|	
is_Inactive	23	1	1	Inactive	inactive	IS	Is	is	TRUE = Person is no longer of any particular relevance but should not to be deleted. Static field. Default value = False.	|	
is_NewLeftPerson	24	1	1	NewLeftPerson	newleftperson	IS	Is	is	TRUE = Person is used as the Contact Manager default  NEW-LEFT PERSON row. Static field. Default value = False.	|	
is_NoRightPerson	25	1	1	NoRightPerson	norightperson	IS	Is	is	TRUE = Person is used as the Contact Manager default  NO-RIGHT PERSON row. Static field. Default value = False.	|	
is_Enlightened	26	1	1	Enlightened	enlightened	IS	Is	is	TRUE = Person is a character in Enlightened. Static field. Default value = False.	|	
is_HolySomething	27	1	1	HolySomething	holysomething	IS	Is	is	TRUE = Person is a character in Holy Something. Static field. Default value = False.	|	
is_StTheresa	28	1	1	StTheresa	sttheresa	IS	Is	is	TRUE = Person is in a parishioner of St Theresa's. Static field. Default value = False.	|	
is_TimeTalent	29	1	1	TimeTalent	timetalent	IS	Is	is	TRUE = Person is included in St T's Time & Talent initiative. Static field. Default value = False.	|	
is_Minister	30	1	1	Minister	minister	IS	Is	is	TRUE = Person is a St T's eucharistic minister. Static field. Default value = False.	|	
is_Sacristan	31	1	1	Sacristan	sacristan	IS	Is	is	TRUE = Person is a St T's sacristan. Static field. Default value = False.	|	
is_Vigil	32	1	1	Vigil	vigil	IS	Is	is	TRUE = Person is normally assigned to St T's Vigil Mass. Static field. Default value = False.	|	
is_Mass	33	1	1	Mass	mass	IS	Is	is	TRUE = Person is normally assigned to St T's Sunday Mass. Static field. Default value = False.	|	
